shapeId,shapeType,shapeLabel,pointId,longitude,latitude,source
41,POLYGON,,10,73.1245900310897,33.71264028427408,
41,POLYGON,,11,73.12501918453208,33.71160502607083,
41,POLYGON,,12,73.12579166072837,33.71081964945323,
41,POLYGON,,13,73.12647830623618,33.71021276260189,
41,POLYGON,,14,73.12720786708823,33.709284574415996,
41,POLYGON,,15,73.12699329036704,33.71010566447703,
41,POLYGON,,16,73.12776576656333,33.71064115376568,
41,POLYGON,,17,73.12922488826743,33.710177063241765,
41,POLYGON,,18,73.12999736446372,33.71067685293288,
41,POLYGON,,19,73.12913905757895,33.71035555989393,
41,POLYGON,,20,73.12875281948081,33.71092674668767,
41,POLYGON,,21,73.12913905757895,33.71171212232581,
42,POLYGON,,0,73.12248717922202,33.71870878822292,
42,POLYGON,,1,73.12476169246665,33.718423221183805,
42,POLYGON,,2,73.12879573482505,33.720315085118855,
42,POLYGON,,3,73.1335593380355,33.7208505107385,
42,POLYGON,,4,73.1348038830184,33.72167149020246,
42,POLYGON,,5,73.13720714229575,33.72374175137658,
42,POLYGON,,6,73.13806544918052,33.72374175137658,
42,POLYGON,,7,73.13858043331138,33.72220690736188,
42,POLYGON,,8,73.13746463436118,33.71899435431217,
42,POLYGON,,9,73.13694965023032,33.71663840566868,
42,POLYGON,,10,73.13600551265708,33.716245741275976,
42,POLYGON,,11,73.13669215816489,33.7158530750875,
42,POLYGON,,12,73.1359196819686,33.71510343465004,
42,POLYGON,,13,73.13673507350913,33.71378262366905,
42,POLYGON,,14,73.13742171901694,33.71264028427408,
42,POLYGON,,15,73.13493262905112,33.71192631443508,
42,POLYGON,,16,73.13433181423179,33.71249749078118,
42,POLYGON,,17,73.1344605602645,33.7131400596293,
42,POLYGON,,18,73.13377391475669,33.7131400596293,
42,POLYGON,,19,73.13450347560874,33.711569327289496,
42,POLYGON,,20,73.13347350734702,33.71228330009659,
42,POLYGON,,21,73.13394557613364,33.71135513428979,
42,POLYGON,,22,73.13089858669272,33.71085534854621,
42,POLYGON,,23,73.12926780361167,33.71010566447703,
42,POLYGON,,24,73.12763702053061,33.71064115376568,
42,POLYGON,,25,73.12690745967856,33.71010566447703,
42,POLYGON,,26,73.12716495174399,33.70939167356482,
42,POLYGON,,27,73.1249333538436,33.71178351975494,
42,POLYGON,,28,73.12450420040122,33.71271168093149,
42,POLYGON,,29,73.12364589351645,33.71228330009659,
42,POLYGON,,30,73.12373172420493,33.711497929682295,
42,POLYGON,,31,73.12283050197593,33.711140940755854,
42,POLYGON,,32,73.12261592525473,33.7118906157873,
42,POLYGON,,33,73.1220151104354,33.71274737923793,
42,POLYGON,,34,73.12107097286216,33.71278307752954,
42,POLYGON,,35,73.12094222682944,33.71363983207575,
42,POLYGON,,36,73.12188636440268,33.71571028693735,
42,POLYGON,,37,73.12265884059897,33.71667410234261,
43,POLYGON,,0,73.10270320552817,33.71360413414032,
43,POLYGON,,1,73.11626445430747,33.720743425881714,
43,POLYGON,,2,73.11892520565024,33.71931561502714,
43,POLYGON,,3,73.12218677181235,33.71888726714002,
43,POLYGON,,4,73.12253009456626,33.717102461272034,
43,POLYGON,,5,73.12072765010825,33.712961568764925,
43,POLYGON,,6,73.12124263423911,33.71124803758961,
43,POLYGON,,7,73.11986934322348,33.70974866976292,
43,POLYGON,,8,73.12029849666587,33.70617864100293,
43,POLYGON,,9,73.11789523738852,33.70724966521248,
43,POLYGON,,10,73.11600696224204,33.706821257131324,
43,POLYGON,,11,73.11635028499595,33.705250409218316,
43,POLYGON,,12,73.11489116329184,33.70489339432242,
43,POLYGON,,13,73.11274539607993,33.70232284326783,
43,POLYGON,,14,73.1110287823104,33.701751599253775,
44,POLYGON,,0,73.10319615300637,33.712724481720095,
44,POLYGON,,1,73.11212254460793,33.69701578949456,
44,POLYGON,,2,73.1133241742466,33.69337381886797,
44,POLYGON,,3,73.11684323247414,33.69151706855445,
44,POLYGON,,4,73.11864567693215,33.69151706855445,
44,POLYGON,,5,73.12010479863625,33.69251686216982,
44,POLYGON,,6,73.12113476689797,33.69380229401237,
44,POLYGON,,7,73.12310887273293,33.694516414505344,
44,POLYGON,,8,73.12534047063332,33.694159355000686,
44,POLYGON,,9,73.12911702092629,33.69473064949595,
44,POLYGON,,10,73.13031865056496,33.696515920312834,
44,POLYGON,,11,73.13169194158058,33.69644451019234,
44,POLYGON,,12,73.13280774053078,33.69508770662671,
44,POLYGON,,13,73.13649846013527,33.695444762273816,
44,POLYGON,,14,73.13830090459328,33.69694437978949,
44,POLYGON,,15,73.14164830144387,33.699086645124034,
44,POLYGON,,16,73.1422491162632,33.700514792338346,
44,POLYGON,,17,73.14233494695168,33.70287118333831,
44,POLYGON,,18,73.14164830144387,33.7042992676383,
44,POLYGON,,19,73.13941670354347,33.707369568485724,
44,POLYGON,,20,73.14439488347512,33.70993996850918,
44,POLYGON,,21,73.14722729619484,33.71251029160172,
44,POLYGON,,22,73.14559651311379,33.714723563728015,
44,POLYGON,,23,73.14387989934426,33.71807906103945,
44,POLYGON,,24,73.13907338078957,33.718721588117454,
44,POLYGON,,25,73.13744259770851,33.71957828340778,
44,POLYGON,,26,73.13701344426613,33.7163656319888,
44,POLYGON,,27,73.13589764531594,33.71465216874343,
44,POLYGON,,28,73.13752842839699,33.712724481720095,
44,POLYGON,,29,73.13486767705422,33.711582128248395,
44,POLYGON,,30,73.12894535954933,33.70993996850918,
44,POLYGON,,31,73.12740040715676,33.71058255649468,
44,POLYGON,,32,73.1272287457798,33.708797577996215,
44,POLYGON,,33,73.12448216374855,33.71243889477686,
44,POLYGON,,34,73.12362385686379,33.7110109458138,
44,POLYGON,,35,73.12207890447121,33.711796320681884,
44,POLYGON,,36,73.12070561345558,33.71265308507332,
44,POLYGON,,37,73.12122059758644,33.71136793528063,
44,POLYGON,,38,73.11967564519387,33.71001136741168,
44,POLYGON,,39,73.12053395207863,33.70608433962579,
44,POLYGON,,40,73.11778737004738,33.70708396373441,
44,POLYGON,,41,73.11598492558937,33.70679835803339,
44,POLYGON,,42,73.11649990972023,33.70501330088502,
44,POLYGON,,43,73.11504078801613,33.704870494710505,
44,POLYGON,,44,73.11375332768898,33.703371015543944,
44,POLYGON,,45,73.11238003667336,33.7020857268534,
44,POLYGON,,46,73.1107492535923,33.70180010453283,
44,POLYGON,,47,73.10405445989113,33.71136793528063,
45,POLYGON,,0,73.02655076265795,33.71280245147636,
45,POLYGON,,1,73.04401730776293,33.72208350163182,
45,POLYGON,,2,73.05427407503588,33.70930394915213,
45,POLYGON,,3,73.03676427587632,33.69977246617334,
46,POLYGON,,0,73.04381949762634,33.72227707443069,
46,POLYGON,,1,73.06210143427185,33.73169986208229,
46,POLYGON,,2,73.0718003020697,33.718707566538654,
46,POLYGON,,3,73.05403334955506,33.7090691538963,
47,POLYGON,,0,73.06201560358338,33.7317712428887,
47,POLYGON,,1,73.0827866301947,33.74226357547316,
47,POLYGON,,2,73.08364493707947,33.7406220026764,
47,POLYGON,,3,73.08175666193299,33.73691050489828,
47,POLYGON,,4,73.08879477838806,33.727202751572875,
47,POLYGON,,5,73.07171447138123,33.718564783135804,
48,POLYGON,,0,73.00607726093119,33.72053600987046,
48,POLYGON,,1,73.00856635089701,33.716038314398084,
48,POLYGON,,2,73.01131293292826,33.71371798254146,
48,POLYGON,,3,73.01182791705912,33.71275413395312,
48,POLYGON,,4,73.0113558482725,33.70961262642407,
48,POLYGON,,5,73.01139876361674,33.70811323004441,
48,POLYGON,,6,73.01307246204203,33.70586408639289,
48,POLYGON,,7,73.02706286426371,33.713289606726754,
48,POLYGON,,8,73.02538916583842,33.71496739979431,
48,POLYGON,,9,73.02560374255961,33.717073519151604,
48,POLYGON,,10,73.02277132983988,33.72389128000777,
49,POLYGON,,0,73.02269745744624,33.72378419894432,
49,POLYGON,,1,73.03960610307612,33.7274962645199,
49,POLYGON,,2,73.04385472215571,33.72214227257685,
49,POLYGON,,3,73.02716065324702,33.713111116173245,
49,POLYGON,,4,73.02540112413325,33.71478891272842,
49,POLYGON,,5,73.02561570085444,33.71718060858615,
50,POLYGON,,0,73.03972527968946,33.72745132787599,
50,POLYGON,,1,73.06088254439894,33.73284067858683,
50,POLYGON,,2,73.06199834334913,33.73176997360034,
50,POLYGON,,3,73.04367349135939,33.722168721923175,
51,POLYGON,,0,73.08272645461622,33.74226230634004,
51,POLYGON,,1,73.09156701552931,33.74540261898075,
51,POLYGON,,2,73.0917815922505,33.73687354742739,
51,POLYGON,,3,73.09186742293898,33.73541031604317,
51,POLYGON,,4,73.09375569808546,33.732126876746996,
51,POLYGON,,5,73.09285447585646,33.72902176964921,
51,POLYGON,,6,73.08882043349806,33.727130097609376,
51,POLYGON,,7,73.08173940169874,33.73680217086567,
51,POLYGON,,8,73.08375642287794,33.74058504680445,
52,POLYGON,,0,72.94988641888861,33.652481960639555,
52,POLYGON,,1,72.96653757245306,33.661555208916624,
52,POLYGON,,2,72.97640810162787,33.64812360365557,
52,POLYGON,,3,72.95984277875189,33.63890602357309,
53,POLYGON,,0,72.96657154378734,33.66130517158689,
53,POLYGON,,1,72.97043392476878,33.661805245519716,
53,POLYGON,,2,72.97343799886546,33.6633768875287,
53,POLYGON,,3,72.97618458089671,33.665448553582344,
53,POLYGON,,4,72.97824451742015,33.6668058249806,
53,POLYGON,,5,72.98056194600902,33.66737730126774,
53,POLYGON,,6,72.98519680318675,33.66980603313071,
53,POLYGON,,7,72.98519680318675,33.67123466689676,
53,POLYGON,,8,72.99583980855785,33.65694726143417,
53,POLYGON,,9,72.97609875020824,33.64794497776012,
54,POLYGON,,0,72.96030590352855,33.658590433806374,
54,POLYGON,,1,72.9561001997932,33.66294826073721,
54,POLYGON,,2,72.95404026326976,33.663805512184666,
54,POLYGON,,3,72.94794628438792,33.67273470681089,
54,POLYGON,,4,72.95343944845042,33.67587756274342,
54,POLYGON,,5,72.95807430562816,33.67830605456429,
54,POLYGON,,6,72.95936176595531,33.680805900970554,
55,POLYGON,,0,72.95944759664378,33.6807344777962,
55,POLYGON,,1,72.97163248165224,33.689320795870884,
55,POLYGON,,2,72.98536972418526,33.671188852996046,
55,POLYGON,,3,72.98528389349678,33.669688786119714,
55,POLYGON,,4,72.98064903631905,33.66754578805535,
55,POLYGON,,5,72.97815994635323,33.66690287822467,
55,POLYGON,,6,72.97361091986397,33.66333106944269,
55,POLYGON,,7,72.97017769232491,33.6617594265967,
55,POLYGON,,8,72.96622948065499,33.66161654855067,
55,POLYGON,,9,72.96022133246163,33.65811596230587,
56,POLYGON,,0,72.96237784106197,33.70105407064804,
56,POLYGON,,1,72.94143515307368,33.69019962456134,
56,POLYGON,,2,72.93783026415767,33.68770005131958,
56,POLYGON,,3,72.94821577746333,33.67248679551385,
56,POLYGON,,4,72.95791464526118,33.67834386056337,
56,POLYGON,,5,72.95937376696529,33.68048658956238,
56,POLYGON,,6,72.97181921679439,33.689485468195755,
57,POLYGON,,0,72.93422675625416,33.706337680224706,
57,POLYGON,,1,72.94529891506764,33.692198935250964,
57,POLYGON,,2,72.96255088345143,33.701125181404855,
57,POLYGON,,3,72.95499778286549,33.710478892146526,
58,POLYGON,,0,72.93416736098449,33.70639563768321,
58,POLYGON,,1,72.91760203810851,33.7017543901745,
58,POLYGON,,2,72.90944812270324,33.69889811321862,
58,POLYGON,,3,72.91588542433898,33.691042861958145,
58,POLYGON,,4,72.9220652339093,33.684972403257625,
58,POLYGON,,5,72.93142077895324,33.68611511059267,
58,POLYGON,,6,72.93785808058898,33.687686308374325,
58,POLYGON,,7,72.94523951979797,33.691971247252354,
59,POLYGON,,0,72.92626410674673,33.63990847891977,
59,POLYGON,,1,72.94986754607778,33.65248401042048,
59,POLYGON,,2,72.95999556731802,33.63862224147325,
59,POLYGON,,3,72.94712096404653,33.63140466390064,
59,POLYGON,,4,72.94145613860708,33.63247661960705,
59,POLYGON,,5,72.93931037139517,33.631904911557164,
59,POLYGON,,6,72.93046981048208,33.63583532776248,
60,POLYGON,,0,72.92620611686942,33.6398386726472,
60,POLYGON,,1,72.91315985222099,33.633192900319685,
60,POLYGON,,2,72.92380285759208,33.62032865836212,
60,POLYGON,,3,72.93950987358329,33.63183509879683,
60,POLYGON,,4,72.93024015922782,33.6356940576182,
61,POLYGON,,0,72.91314061361952,33.63322765043512,
61,POLYGON,,1,72.90352757651014,33.64180274101168,
61,POLYGON,,2,72.9077332802455,33.645446895929226,
61,POLYGON,,3,72.91039403158827,33.64959104151057,
61,POLYGON,,4,72.91640217978163,33.64637577349274,
61,POLYGON,,5,72.92532857138319,33.63965904842022,
62,POLYGON,,0,72.91299878708004,33.632953117254246,
62,POLYGON,,1,72.90226995102047,33.62644975024888,
62,POLYGON,,2,72.89978086105465,33.624377145512256,
62,POLYGON,,3,72.90158330551266,33.62116093600297,
62,POLYGON,,4,72.90407239547848,33.61937410106883,
62,POLYGON,,5,72.90699063888668,33.61737280195545,
62,POLYGON,,6,72.90467321029782,33.6163721349703,
62,POLYGON,,7,72.90484487167477,33.61351302242021,
62,POLYGON,,8,72.90493070236325,33.612011950364355,
62,POLYGON,,9,72.91359960189938,33.616300658312504,
62,POLYGON,,10,72.92372762313961,33.620446206475535,
63,POLYGON,,0,72.90338574997067,33.64188551321549,
63,POLYGON,,1,72.90021001449703,33.63781245557611,
63,POLYGON,,2,72.89626180282711,33.636954945207556,
